time,temp_CA_dmean,temp_CA_dmax,precip_CA_dsum,wind_CA_dmean,wind_CA_dmax,gust_CA_dmean,gust_CA_dmax,humid_CA_dmean,humid_CA_dmax,humid_CA_dmin
24/06/2000,21.768494,28.41571,0,1.493432,3.328648,5.70246,10.456547,0.00177002,0.00177002,0.00177002
25/06/2000,22.04545,27.671478,0,1.558503,2.950412,5.19975,9.825264,0.00177002,0.00177002,0.00177002
26/06/2000,23.109922,29.452362,0,1.4487433,3.3533177,5.2499356,9.498631,0.00177002,0.00177002,0.00177002
27/06/2000,23.780828,30.559204,0,1.5602182,3.4109123,5.629406,10.392947,0.00177002,0.00177002,0.00177002
28/06/2000,23.857641,30.217468,0,1.5469246,3.4586105,5.451464,10.753344,0.00177002,0.00177002,0.00177002
29/06/2000,23.559723,30.33899,0,1.6265812,3.6729245,5.7628207,11.733246,0.00177002,0.00177002,0.00177002
30/06/2000,22.662567,29.044159,0,1.6804441,3.681494,6.393776,11.295116,0.00177002,0.00177002,0.00177002
1/07/2000,21.65783,28.427948,2.01E-05,1.5783058,3.421096,6.7824025,11.341351,0.001091003,0.001091003,0.001091003
2/07/2000,21.03282,27.896301,2.01E-05,1.5886117,3.3769946,7.155268,11.095556,0.001091003,0.001091003,0.001091003
3/07/2000,19.194471,26.007019,2.01E-05,1.693746,3.4841259,7.834009,11.938161,0.001091003,0.001091003,0.001091003
4/07/2000,17.799265,25.181091,2.01E-05,1.6268779,3.4658668,7.3964686,10.9987545,0.001091003,0.001091003,0.001091003
5/07/2000,18.07793,25.79123,2.01E-05,1.580778,3.3932068,6.7384205,11.015589,0.001091003,0.001091003,0.001091003
6/07/2000,18.957987,26.603424,2.01E-05,1.6191584,3.5402203,6.65463,10.974342,0.001091003,0.001091003,0.001091003
7/07/2000,19.4572,27.088013,2.01E-05,1.6324507,3.6593657,6.5731196,11.075354,0.001091003,0.001091003,0.001091003
8/07/2000,19.33401,26.87613,2.01E-05,1.5732526,3.6727238,6.203937,10.787472,0.001091003,0.001091003,0.001091003
9/07/2000,19.547934,26.171814,2.01E-05,1.5490478,3.5263577,5.9829392,10.930571,0.001091003,0.001091003,0.001091003
10/07/2000,18.909433,27.137054,2.01E-05,1.3501892,3.2248166,5.996828,10.346388,0.001091003,0.001091003,0.001091003
11/07/2000,20.462488,28.936066,2.01E-05,1.3139662,3.0736063,5.474234,9.846382,0.001091003,0.001091003,0.001091003
12/07/2000,21.173742,28.747742,2.01E-05,1.4878522,3.2524974,5.429586,10.080391,0.001091003,0.001091003,0.001091003
13/07/2000,22.394918,30.929321,2.01E-05,1.5893496,3.428588,5.708595,10.420464,0.001091003,0.001091003,0.001091003
14/07/2000,24.204733,31.453156,2.01E-05,1.6202065,3.8033981,5.510465,11.422161,0.001091003,0.001091003,0.001091003
15/07/2000,22.334755,29.193085,2.01E-05,1.5389043,3.5505483,6.540606,11.201618,0.001091003,0.001091003,0.001091003
16/07/2000,20.981234,27.808014,2.01E-05,1.5055995,3.4236152,6.95293,11.065252,0.001091003,0.001091003,0.001091003
17/07/2000,21.697723,31.374664,2.01E-05,1.565684,3.4279954,6.7866116,10.977711,0.001091003,0.001091003,0.001091003
18/07/2000,25.540924,36.206726,2.01E-05,1.8241768,3.7855666,6.253355,11.705834,0.001091003,0.001091003,0.001091003
19/07/2000,26.75972,35.608368,2.01E-05,1.8442942,3.8309839,6.2786784,12.572849,0.001091003,0.001091003,0.001091003
20/07/2000,26.680517,35.01587,2.01E-05,1.7241083,3.6708252,6.169775,11.409534,0.001091003,0.001091003,0.001091003
21/07/2000,25.785172,33.96823,2.01E-05,1.6926833,3.4249554,6.170687,11.1662655,0.001091003,0.001091003,0.001091003
22/07/2000,25.42893,33.287476,2.01E-05,1.5789183,3.1265166,5.4890704,10.006317,0.001091003,0.001091003,0.001091003
23/07/2000,26.088446,32.820557,2.01E-05,1.4696862,3.1927876,4.921547,9.803452,0.001091003,0.001091003,0.001091003
24/07/2000,25.306803,32.908844,2.01E-05,1.5660068,3.5168533,5.5418553,10.983603,0.001091003,0.001091003,0.001091003
25/07/2000,25.024216,32.78131,2.01E-05,1.5216476,3.5812502,6.1093087,11.250441,0.001091003,0.001091003,0.001091003
26/07/2000,25.003778,31.733673,2.01E-05,1.5620466,3.4570851,6.263211,10.848921,0.001091003,0.001091003,0.001091003
27/07/2000,25.026342,32.951996,2.01E-05,1.6176776,3.3604474,5.787825,10.797573,0.001091003,0.001091003,0.001091003
28/07/2000,25.729507,33.71518,2.01E-05,1.6288584,3.2325282,5.866425,10.567772,0.001091003,0.001091003,0.001091003
29/07/2000,25.991327,33.72104,2.01E-05,1.5821248,3.4782274,5.878245,10.878382,0.001091003,0.001091003,0.001091003
30/07/2000,25.891357,34.809875,2.01E-05,1.3678341,2.8893106,5.507414,9.451595,0.001091003,0.001091003,0.001091003
31/07/2000,26.749506,33.909393,2.0162132,1.3188431,3.0089226,5.266284,9.337116,0.001091003,0.001091003,0.001091003
1/08/2000,26.540115,32.461884,5.7056274,1.3415928,2.981155,4.570559,8.536039,0.000434876,0.000434876,0.000434876
